"county","state","pop.2020","pop.2010","area","Nh","Sh","nh","weights","pop_density","hisp_2020","hisp_2010","totalvotes","DEMOCRAT","REPUBLICAN","THIRD","pop_2020_65","pop_2010_65"
"Mendocino","California",91601,87796,3509,58,1463646.58867819,39,1.48717948717949,26.1045882017669,22729,19609,43340,28782,13267,1291,20420,13586
"Madera","California",156255,151006,2138,58,1463646.58867819,39,1.48717948717949,73.0846585594013,93791,81272,53732,23168,29378,1186,23092,17308
"Los Angeles","California",10014009,9821647,4060,58,1463646.58867819,39,1.48717948717949,2466.50467980296,4822226,4693585,4264365,3028885,1145530,89950,1444480,1071941
"Lassen","California",32730,34828,4558,58,1463646.58867819,39,1.48717948717949,7.18078104431768,5872,6150,11987,2799,8970,218,4882,3468
"Lake","California",68163,64736,1258,58,1463646.58867819,39,1.48717948717949,54.1836248012719,14690,11149,28812,14941,13123,748,15131,11504
"Kings","California",152486,152342,1390,58,1463646.58867819,39,1.48717948717949,109.702158273381,84970,77840,43861,18699,24072,1090,16579,12093
"Kern","California",909235,841365,8142,58,1463646.58867819,39,1.48717948717949,111.672193564235,497166,414905,305292,133366,164484,7442,104230,75802
"Fresno","California",1008654,932011,5963,58,1463646.58867819,39,1.48717948717949,169.152104645313,541269,469768,364917,193025,164464,7428,128421,93863
"El Dorado","California",191185,181161,1712,58,1463646.58867819,39,1.48717948717949,111.673481308411,25755,21943,116159,51621,61838,2700,43941,26782
"Del Norte","California",27743,28568,1008,58,1463646.58867819,39,1.48717948717949,27.5228174603175,5712,5115,11453,4677,6461,315,5323,3886
"Colusa","California",21839,21435,1151,58,1463646.58867819,39,1.48717948717949,18.9739357080799,13030,11842,7961,3239,4559,163,3313,2511
"Calaveras","California",45292,45467,1020,58,1463646.58867819,39,1.48717948717949,44.4039215686275,6154,4703,27164,10046,16518,600,13402,9628
"Amador","California",40474,37883,606,58,1463646.58867819,39,1.48717948717949,66.7887788778878,5978,4706,22304,8153,13585,566,11232,7934
"Alpine","California",1204,1161,739,58,1463646.58867819,39,1.48717948717949,1.62922868741543,145,81,741,476,244,21,287,166
"Logan","Colorado",21528,22749,1845.31,64,183441.035164191,5,12.8,11.6663324861405,3770,3568,10532,2218,8087,227,4116,3335
"La Plata","Colorado",55638,51416,1700.44,64,183441.035164191,5,12.8,32.7197666486321,7306,6117,35667,20548,14233,886,11042,6036
"Garfield","Colorado",61685,56072,2958.23,64,183441.035164191,5,12.8,20.8519959570419,17735,15870,30904,15427,14717,760,8616,4766
"Dolores","Colorado",2326,2069,1076.93,64,183441.035164191,5,12.8,2.15984325815048,157,87,1449,341,1089,19,551,396
"Baca","Colorado",3506,3807,2558.48,64,183441.035164191,5,12.8,1.37034489227979,422,349,2225,317,1867,41,924,919
"Litchfield","Connecticut",112503,189762,808.27,9,286912.630144227,1,9,139.189874670593,13449,8592,107544,50164,55601,1779,40910,30526
"New Castle","Delaware",570719,538792,494,3,210324.270050637,1,3,1155.3016194332,60158,47209,287633,195034,88364,4235,92855,66513
"District of Columbia","District of Columbia",689545,605282,68.34,1,NA,NA,NA,10089.918056775,81115,55828,344356,317323,18586,8447,89833,69105
"Volusia","Florida",553543,494462,1106,67,500925.312551697,16,4.1875,500.49095840868,86933,55421,307439,130575,173821,3043,142378,104595
"Union","Florida",16147,15551,240,67,500925.312551697,16,4.1875,67.2791666666667,883,741,6245,1053,5133,59,2330,1584
"Taylor","Florida",21796,22594,1042,67,500925.312551697,16,4.1875,20.9174664107486,938,782,10127,2299,7751,77,4573,3567
"Santa Rosa","Florida",188000,152924,1016,67,500925.312551697,16,4.1875,185.03937007874,11517,6672,106928,27612,77385,1931,31199,19616
"Pasco","Florida",561891,465516,745,67,500925.312551697,16,4.1875,754.21610738255,97741,55189,301970,119073,179621,3276,129888,96614
"Miami-Dade","Florida",2701767,2506986,1946,67,500925.312551697,16,4.1875,1388.36947584789,1864797,1631635,1156816,617864,532833,6119,459870,354195
"Levy","Florida",42915,40727,1118,67,500925.312551697,16,4.1875,38.3855098389982,3852,3046,23145,6205,16749,191,10823,7942
"Lake","Florida",383956,297724,953,67,500925.312551697,16,4.1875,402.891920251836,64288,36420,211314,83505,125859,1950,102111,72184
"Holmes","Florida",19653,19844,482,67,500925.312551697,16,4.1875,40.7738589211618,625,446,9068,924,8080,64,3995,3427
"Gilchrist","Florida",17864,17006,349,67,500925.312551697,16,4.1875,51.1862464183381,1217,841,9685,1700,7895,90,3995,2889
"Gadsden","Florida",43826,47792,516,67,500925.312551697,16,4.1875,84.9341085271318,4931,4473,23762,16153,7465,144,8772,6377
"Franklin","Florida",12451,11523,534,67,500925.312551697,16,4.1875,23.3164794007491,718,529,6849,2120,4675,54,2993,2015
"Flagler","Florida",115378,96065,485,67,500925.312551697,16,4.1875,237.892783505155,13102,8317,71716,28161,43043,512,37557,23635
"Escambia","Florida",321905,298069,664,67,500925.312551697,16,4.1875,484.796686746988,19713,14205,170372,70929,96674,2769,56280,43035
"Dixie","Florida",16759,16399,704,67,500925.312551697,16,4.1875,23.8053977272727,710,512,8167,1365,6759,43,4158,3205
"Broward","Florida",1944375,1752843,1209,67,500925.312551697,16,4.1875,1608.25062034739,614664,441910,957672,618752,333409,5511,343446,250274
"Toombs","Georgia",27030,27248,367,159,146519.674177305,11,14.4545454545455,73.6512261580381,3102,3100,10914,2939,7872,103,4646,3769
"Terrell","Georgia",9185,9525,336,159,146519.674177305,11,14.4545454545455,27.3363095238095,258,168,4416,2376,2004,36,1748,1421
"Talbot","Georgia",5733,6883,393,159,146519.674177305,11,14.4545454545455,14.587786259542,188,96,3522,2114,1392,16,1627,1136
"Seminole","Georgia",9147,8727,238,159,146519.674177305,11,14.4545454545455,38.4327731092437,304,207,3884,1254,2611,19,1944,1669
"Marion","Georgia",7498,8741,434,159,146519.674177305,11,14.4545454545455,17.2764976958525,673,570,3624,1311,2275,38,1792,1227
"Haralson","Georgia",29919,28763,282,159,146519.674177305,11,14.4545454545455,106.095744680851,684,331,14248,1792,12331,125,5006,4051
