"county","state","pop","area","Nh","Sh","id"
"Ford","Illinois",13534,485,102,535679.79217037,673
"Edwards","Illinois",6245,222,102,535679.79217037,676
"DeKalb","Illinois",100420,631,102,535679.79217037,681
"Crawford","Illinois",18679,443,102,535679.79217037,683
"Cook","Illinois",5275541,944,102,535679.79217037,684
"Coles","Illinois",46863,508,102,535679.79217037,685
"Clinton","Illinois",36899,474,102,535679.79217037,686
"Clay","Illinois",13288,468,102,535679.79217037,687
"Calhoun","Illinois",4437,253,102,535679.79217037,693
"Brown","Illinois",6244,305,102,535679.79217037,695
"Shelby","Indiana",45055,411,92,125957.744284192,720
"Parke","Indiana",16156,445,92,125957.744284192,731
"Noble","Indiana",47457,411,92,125957.744284192,735
"Jay","Indiana",20478,384,92,125957.744284192,754
"Delaware","Indiana",111903,392,92,125957.744284192,774
"Clark","Indiana",121093,373,92,125957.744284192,782
"Madison","Iowa",16548,561,99,59658.5994997614,830
"Humboldt","Iowa",9597,434,99,59658.5994997614,845
"Buena Vista","Iowa",20823,575,99,59658.5994997614,880
"Thomas","Kansas",7930,1075,105,81025.7864800668,899
"Gray","Kansas",5653,869,105,81025.7864800668,961
"Coffey","Kansas",8360,630,105,81025.7864800668,980
"Butler","Kansas",67380,1428,105,81025.7864800668,988
"Madison","Kentucky",92701,441,120,79036.2490969163,1043
"Lee","Kentucky",7395,210,120,79036.2490969163,1051
"Green","Kentucky",11107,289,120,79036.2490969163,1072
"Fulton","Kentucky",6515,209,120,79036.2490969163,1078
"Barren","Kentucky",44485,491,120,79036.2490969163,1111
"West Baton Rouge Parish","Louisiana",27199,203,64,100222.715969877,1119
"Jefferson Davis Parish","Louisiana",32250,659,64,100222.715969877,1154
"East Carroll Parish","Louisiana",7459,442,64,100222.715969877,1162
"York","Maine",211972,1271,16,78729.5904650585,1180
"Prince George's","Maryland",967201,507,24,315201.682930796,1203
"Howard","Maryland",332317,527,24,315201.682930796,1206
"Charles","Maryland",166617,418,24,315201.682930796,1211
"Calvert","Maryland",92783,92,24,315201.682930796,1215
"Plymouth","Massachusetts",530819,661,14,449922.735618096,1222
"Norfolk","Massachusetts",725981,400,14,449922.735618096,1223
"Hampden","Massachusetts",465825,618,14,449922.735618096,1227
"Shiawassee","Michigan",68094,541,83,264584.773008379,1241
"Saginaw","Michigan",190124,816,83,264584.773008379,1244
"Newaygo","Michigan",49978,861,83,264584.773008379,1255
"Luce","Michigan",5339,1912,83,264584.773008379,1269
"Keweenaw","Michigan",2046,5966,83,264584.773008379,1275
"Jackson","Michigan",160366,724,83,264584.773008379,1279
"Iosco","Michigan",25237,1891,83,264584.773008379,1282
"Huron","Michigan",31407,2136,83,264584.773008379,1285
"Gratiot","Michigan",41761,572,83,264584.773008379,1288
"Genesee","Michigan",406211,649,83,264584.773008379,1292
"Clare","Michigan",30856,885,83,264584.773008379,1299
"Otter Tail","Minnesota",60081,1979.71,87,159605.293102065,1348
"Nicollet","Minnesota",34454,452.29,87,159605.293102065,1352
"Marshall","Minnesota",9040,1772.24,87,159605.293102065,1360
"Lyon","Minnesota",25269,714.17,87,159605.293102065,1362
"Crow Wing","Minnesota",66123,996.57,87,159605.293102065,1386
"Cook","Minnesota",5600,1450.6,87,159605.293102065,1388
"Cass","Minnesota",30066,2017.6,87,159605.293102065,1393
"Tate","Mississippi",28064,404,82,43532.5889271813,1417
"Lauderdale","Mississippi",72984,704,82,43532.5889271813,1448
"Sullivan","Missouri",5999,463,115,126522.115306847,1495
"St. Francois","Missouri",66922,508,115,126522.115306847,1501
"Platte","Missouri",106718,420,115,126522.115306847,1518
"Osage","Missouri",13274,606,115,126522.115306847,1525
"Dade","Missouri",7569,490,115,126522.115306847,1572
"Cooper","Missouri",17103,565,115,126522.115306847,1574
"Audrain","Missouri",24962,693,115,126522.115306847,1597
"Sweet Grass","Montana",3678,1855,56,34272.6244122182,1608
"Thurston","Nebraska",6773,394,93,70783.6212276329,1663
"Thayer","Nebraska",5034,575,93,70783.6212276329,1665
"Butler","Nebraska",8369,584,93,70783.6212276329,1738
"Lyon","Nevada",59235,1994,17,548755.57980158,1756
"Humboldt","Nevada",17285,9658,17,548755.57980158,1759
"Esmeralda","Nevada",729,3589,17,548755.57980158,1761
"Elko","Nevada",53702,17182,17,548755.57980158,1762
"Churchill","Nevada",25516,4929,17,548755.57980158,1765
"Cheshire","New Hampshire",76458,708,10,130026.469741485,1774
"Warren","New Jersey",109632,358,21,275351.835759901,1777
"Mercer","New Jersey",387340,226,21,275351.835759901,1787
"Burlington","New Jersey",461860,805,21,275351.835759901,1795
"San Juan","New Mexico",121661,5514,33,121246.095859224,1807
"Hidalgo","New Mexico",4178,3446,33,121246.095859224,1818
"Ulster","New York",181851,1161,62,571346.601597947,1837
"Tioga","New York",48455,523,62,571346.601597947,1839
"Suffolk","New York",1525920,2373,62,571346.601597947,1841
"St. Lawrence","New York",108505,2821,62,571346.601597947,1843
"Richmond","New York",495747,102.5,62,571346.601597947,1850
"Putnam","New York",97668,246,62,571346.601597947,1853
"Otsego","New York",58524,1003,62,571346.601597947,1854
"Oswego","New York",117525,1312,62,571346.601597947,1855
"Orleans","New York",40343,817,62,571346.601597947,1856
"New York","New York",1694251,33.77,62,571346.601597947,1862
